praatword,parsedword,lstm256Surprisal,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
than,than,6.69937992096,16,5.680643,1.584316,0.81025,18,5.686621,2.256051,0.772833,18,6.340399,3.286535,1.25695,18,6.345926,3.423786,1.22403,18,6.35917,3.756486,1.23194,18,6.345198,3.881775,1.17686
a,a,2.92882943153,11,3.099585,2.166509,0.582193,13,3.09841,2.855574,0.599523,13,3.05979,3.756751,0.470216,13,3.024584,3.95729,0.533504,13,3.027005,4.26053,0.504044,13,3.034629,4.395826,0.514051
rat,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hole,UNK,1.49255037308,6,1.899631,2.099373,-0.067136,6,1.899588,2.780334,-0.07524,5,1.814758,3.528367,-0.228384,5,1.812912,3.793076,-0.164214,5,1.809806,4.081855,-0.178675,5,1.809154,4.249116,-0.14671
she,she,3.78957176208,15,5.548972,2.381961,0.282588,16,4.519394,3.137622,0.357288,15,4.52893,3.976045,0.447678,15,4.483019,4.152341,0.359265,15,4.549496,4.382125,0.30027,15,4.567878,4.524348,0.275232
knelt,UNK,2.55676364899,6,3.175735,2.228415,-0.153546,6,3.658527,3.336782,0.19916,6,3.674054,4.060876,0.084831,6,3.559167,4.313263,0.160922,6,3.533783,4.544763,0.162638,6,3.520436,4.698343,0.173995
down,down,5.66634082794,20,4.22491,2.317197,0.088782,22,4.184265,3.180971,-0.155811,22,4.197485,3.886986,-0.17389,22,4.156152,4.178065,-0.135198,22,4.151751,4.398938,-0.145825,22,4.148356,4.55512,-0.143223
and,and,3.05122804642,18,3.277031,1.517061,-0.800136,17,2.869058,2.466181,-0.71479,18,2.9276,3.110091,-0.776895,18,2.889898,3.3584,-0.819665,18,2.891841,3.62085,-0.778088,18,2.910303,3.770375,-0.784745
looked,looked,4.78195762634,20,3.213727,1.312737,-0.204324,20,3.16596,1.991282,-0.474899,20,3.188521,2.567844,-0.542247,22,3.168392,2.910928,-0.447472,22,3.169571,3.174462,-0.446388,22,3.18176,3.289436,-0.480939
along,along,7.97612476349,22,7.181448,1.785669,0.472932,22,7.219475,2.544362,0.55308,22,7.18784,3.198678,0.630834,23,7.196105,3.474264,0.563336,23,7.200561,3.716592,0.54213,23,7.193296,3.839915,0.550479
the,the,2.53450870514,9,2.757907,1.869594,0.083925,9,2.725128,2.657337,0.112975,9,2.740694,3.280361,0.081683,9,2.734759,3.593232,0.118968,9,2.735817,3.83456,0.117968,9,2.735384,3.966511,0.126596
passage,UNK,2.40344238281,4,2.356461,1.758048,-0.111546,5,2.355389,2.486778,-0.170559,4,2.355934,3.116826,-0.163535,5,2.356314,3.433354,-0.159878,5,2.35649,3.677962,-0.156598,5,2.35628,3.812726,-0.153785
into,into,5.94946479797,24,5.152915,1.366048,-0.392,24,5.09064,1.983515,-0.503263,24,5.087291,2.626985,-0.489841,25,5.097938,2.939383,-0.493971,25,5.097186,3.18103,-0.496932,25,5.099376,3.317419,-0.495307
the,the,0.983380317688,6,1.370886,2.087297,0.721249,6,1.362933,2.756214,0.772699,6,1.361127,3.396623,0.769638,6,1.357749,3.708713,0.76933,6,1.357701,3.954073,0.773043,6,1.355681,4.090697,0.773278
loveliest,UNK,2.13713026047,5,2.503948,1.887474,-0.199823,5,2.506706,2.602694,-0.15352,5,2.50594,3.248884,-0.147739,5,2.505611,3.571383,-0.13733,5,2.505498,3.816037,-0.138036,5,2.504824,3.958813,-0.131884
garden,garden,6.95791482925,25,7.783733,1.794353,-0.093121,25,7.785531,2.527062,-0.075632,25,7.788674,3.16541,-0.083474,27,7.787657,3.490437,-0.080946,27,7.790967,3.727594,-0.088443,27,7.790225,3.875263,-0.08355
you,you,5.19429111481,20,7.030753,3.550607,1.75625,20,6.107514,3.327126,0.800064,20,6.083131,4.025927,0.860517,22,5.932431,4.448185,0.957748,22,5.911089,4.646966,0.919372,22,5.912446,4.778581,0.903318
ever,ever,5.29986000061,24,6.441112,1.823809,-1.7268,15,5.997488,2.344761,-0.982365,22,5.994154,3.030666,-0.995261,22,6.127633,3.507354,-0.940831,24,6.111043,3.764806,-0.88216,24,6.113751,3.87479,-0.903791
saw,saw,6.02317857742,27,4.100155,1.441245,-0.382564,17,4.353119,2.533988,0.189227,25,4.354031,3.20273,0.172064,25,4.40758,3.614605,0.107251,27,4.409534,3.833183,0.068377,27,4.388964,3.982107,0.107317
how,how,4.3684129715,9,4.467998,1.177756,-0.263489,9,4.4462,1.275875,-1.25811,9,4.428817,1.362383,-1.84035,9,4.422336,1.38845,-2.22616,9,4.418484,1.402097,-2.43109,9,4.416192,1.409439,-2.57267
she,she,2.81402540207,10,3.581283,0.807807,-0.369949,10,3.564869,0.989089,-0.286786,10,3.56888,1.081193,-0.28119,10,3.569418,1.121132,-0.267318,10,3.569021,1.153571,-0.248526,10,3.568429,1.178178,-0.231261
longed,UNK,3.23184013367,6,2.885839,1.335238,0.527431,6,2.88108,1.528106,0.539017,7,2.872975,1.605695,0.524502,7,2.872134,1.645089,0.523957,7,2.871965,1.674107,0.520536,7,2.872063,1.696702,0.518524
to,to,2.73698306084,12,2.501779,1.730161,0.394923,12,2.494456,1.92957,0.401464,12,2.485427,2.057298,0.451603,13,2.481316,2.109587,0.464498,13,2.479629,2.143248,0.469141,13,2.478405,2.165102,0.4684
get,get,3.65180516243,14,4.149293,0.929712,-0.800449,15,4.159487,1.124469,-0.805101,15,4.163007,1.278219,-0.779079,15,4.163429,1.348851,-0.760736,15,4.162988,1.396257,-0.746991,15,4.16349,1.422487,-0.742615
out,out,3.44956445694,15,3.018916,1.055125,0.125413,16,3.016674,1.254528,0.130059,16,3.01582,1.409061,0.130842,16,3.015212,1.480566,0.131715,16,3.015078,1.526619,0.130362,16,3.01476,1.55444,0.131953
of,of,1.1305437088,16,3.782654,1.193319,0.138194,17,3.767429,1.412288,0.15776,17,3.762399,1.580278,0.171217,17,3.760121,1.660697,0.180131,17,3.758964,1.714252,0.187633,17,3.757896,1.745712,0.191272
that,that,4.73672008514,12,4.715191,1.841297,0.647978,12,4.705766,2.136576,0.724288,13,4.675895,2.340471,0.760193,13,4.662754,2.433848,0.773151,13,4.656289,2.492882,0.77863,13,4.650728,2.539509,0.793797
dark,UNK,3.3429672718,12,2.896105,1.984017,0.14272,12,2.880299,2.248286,0.11171,12,2.8731,2.545747,0.205276,11,2.865559,2.676349,0.242501,11,2.859831,2.760232,0.26735,11,2.857593,2.824677,0.285168
hall,hall,14.0846862793,18,9.149367,1.251356,-0.732661,18,9.172473,1.52993,-0.718356,18,9.179024,1.871602,-0.674145,18,9.190516,1.991666,-0.684683,18,9.195164,2.086046,-0.674186,20,9.19919,2.133636,-0.691041
and,and,2.08400344849,16,3.151286,1.637311,0.385955,17,3.177331,1.770482,0.240552,17,3.048635,2.184816,0.313214,17,2.994976,2.416587,0.424921,17,2.975376,2.551864,0.465818,17,2.949428,2.670686,0.53705
wander,UNK,2.55015397072,6,2.987461,1.625381,-0.01193,7,2.941855,1.811416,0.040934,7,2.824614,2.31056,0.125744,7,2.788198,2.553601,0.137014,7,2.80173,2.650918,0.099054,7,2.78822,2.807224,0.136538
about,about,5.43460464478,18,5.827178,1.737288,0.111907,18,5.81355,2.008923,0.197507,18,5.694024,2.628925,0.318365,18,5.632794,2.899844,0.346243,18,5.625272,3.03741,0.386492,18,5.615603,3.208502,0.401278
among,among,6.96459722519,18,6.51443,1.493362,-0.243926,19,6.505943,1.850421,-0.158502,19,6.441917,2.627199,-0.001726,19,6.426303,2.980001,0.080157,19,6.427948,3.089572,0.052162,19,6.425982,3.270381,0.061879
those,those,9.75227451324,18,7.899692,2.247474,0.754112,19,7.891851,2.449151,0.59873,19,7.901381,3.154659,0.52746,19,7.857212,3.601474,0.621473,19,7.838415,3.729093,0.639521,19,7.841319,3.876557,0.606176
beds,UNK,1.69535589218,8,2.654065,2.500202,0.252728,10,2.623307,2.884683,0.435532,9,2.643886,3.533265,0.378606,10,2.64958,3.960308,0.358834,10,2.635895,4.114409,0.385316,10,2.633863,4.260932,0.384375
of,of,2.93421912193,16,1.673208,1.591767,-0.908435,16,1.673114,2.006728,-0.877955,19,1.699858,2.673748,-0.859517,20,1.705178,3.097219,-0.863089,20,1.724341,3.232305,-0.882104,20,1.73605,3.368335,-0.892597
bright,bright,9.54881763458,17,11.251991,1.254515,-0.337252,18,11.088759,1.869969,-0.136759,20,11.015624,2.595332,-0.078416,20,11.064403,2.873859,-0.22336,21,11.006669,3.087439,-0.144866,21,11.00678,3.208872,-0.159463
flowers,UNK,1.45926618576,8,2.202873,1.497534,0.243019,8,2.196948,2.126932,0.256963,8,2.199011,2.834414,0.239082,8,2.196759,3.116531,0.242672,8,2.195401,3.330555,0.243116,8,2.193433,3.458354,0.249482
and,and,2.27016687393,16,3.129489,2.237557,0.740023,17,3.103523,2.840787,0.713855,19,3.191701,3.621129,0.786715,19,3.01827,3.713561,0.59703,18,3.035543,3.932262,0.601707,18,3.043819,4.059679,0.601325
those,those,8.14950275421,17,6.953007,2.335802,0.098245,17,6.893193,2.981295,0.140508,20,6.872002,3.623508,0.002379,20,6.616794,3.607556,-0.106005,20,6.632132,3.796048,-0.136214,21,6.622876,3.944801,-0.114878
cool,UNK,1.51239871979,8,2.667595,2.47209,0.136288,8,2.662985,3.135532,0.154237,8,2.6749,3.786555,0.163047,9,2.650735,3.785179,0.177623,9,2.652529,4.000181,0.204133,9,2.650794,4.161766,0.216965
fountains,UNK,2.19151735306,10,3.817526,3.361999,0.889909,9,3.809798,3.983437,0.847905,9,3.785398,4.649731,0.863176,11,3.713911,4.802061,1.01688,11,3.693779,5.020998,1.02082,10,3.688481,5.13894,0.977174
but,but,5.17757463455,19,5.971718,2.438756,-0.923243,19,5.916159,3.314944,-0.668493,22,6.000339,4.011135,-0.638596,22,6.046657,4.303076,-0.498985,22,6.048083,4.529025,-0.491973,22,6.028601,4.738412,-0.400528
she,she,1.14507007599,12,3.562611,1.694294,-0.744462,12,3.606401,2.348172,-0.966772,13,3.481419,3.091864,-0.919271,12,3.373958,3.438075,-0.865001,12,3.366352,3.670899,-0.858126,13,3.356599,3.879468,-0.858944
could,could,2.39556503296,18,4.418134,1.597424,-0.09687,19,4.450989,2.373583,0.025411,21,4.416632,3.107623,0.015759,21,4.355034,3.491665,0.05359,21,4.354079,3.707875,0.036976,22,4.381035,3.864277,-0.015191
not,not,1.34200954437,19,1.846621,1.662394,0.06497,19,1.844138,2.373866,0.000283,20,1.827358,3.127418,0.019795,20,1.829203,3.509374,0.017709,20,1.830581,3.73794,0.030065,20,1.828408,3.903245,0.038968
even,even,5.13480186462,19,5.853626,2.122509,0.460115,19,5.87486,2.87845,0.504584,20,5.892211,3.627149,0.499731,20,5.91529,4.017817,0.508443,20,5.905388,4.238579,0.500639,20,5.900203,4.406106,0.502861
get,get,5.14277362823,12,4.145312,1.284878,-0.837631,12,4.130894,1.995628,-0.882822,17,4.112721,2.762477,-0.864672,20,4.087466,3.157003,-0.860814,20,4.092397,3.389384,-0.849195,20,4.100395,3.543643,-0.862463
her,her,5.29191017151,11,5.380126,1.996511,0.711633,11,5.388403,2.695906,0.700278,15,5.397477,3.458309,0.695832,18,5.404764,3.853937,0.696934,18,5.398299,4.089912,0.700528,18,5.391972,4.248515,0.704872
head,head,3.79795074463,13,3.998017,1.70223,-0.294281,14,3.992439,2.383571,-0.312335,18,3.990223,3.109854,-0.348455,21,3.989114,3.465602,-0.388335,21,3.989433,3.710139,-0.379773,21,3.989636,3.882583,-0.365932
through,through,6.58496999741,13,6.768607,1.21494,-0.48729,14,6.812922,1.770807,-0.612764,18,6.8094,2.51747,-0.592384,21,6.79562,2.901263,-0.564339,21,6.775884,3.178162,-0.531977,21,6.782959,3.318348,-0.564235
the,the,1.79586648941,9,1.746174,1.74881,0.53387,9,1.706968,2.391933,0.621126,9,1.702642,3.153052,0.635582,9,1.712022,3.541422,0.640159,9,1.712185,3.820847,0.642685,9,1.715131,3.951981,0.633633
doorway,UNK,2.24465703964,5,2.228262,1.736114,-0.012696,5,2.23325,2.386688,-0.005245,5,2.234057,3.134356,-0.018696,5,2.235851,3.500059,-0.041363,5,2.237157,3.773552,-0.047295,5,2.237504,3.911863,-0.040118
and,and,2.09614229202,14,2.850618,1.344373,-0.391741,14,2.748406,1.771028,-0.61566,14,2.778474,2.533005,-0.601351,19,2.908144,2.750148,-0.749911,19,2.788489,3.055373,-0.718179,19,2.821061,3.139926,-0.771937
even,even,7.31269311905,9,7.634814,1.62817,0.283797,14,7.705833,2.101436,0.330408,14,7.709026,2.803663,0.270658,16,7.713398,2.881046,0.130898,16,7.681654,3.260134,0.204761,22,7.672328,3.380675,0.240749
if,if,6.34017753601,10,4.288055,1.912584,0.284414,10,4.648181,1.985244,-0.116192,10,4.498591,2.93063,0.126967,10,4.540371,2.931397,0.050351,14,4.691581,3.143754,-0.11638,14,4.70253,3.217135,-0.16354
my,my,8.91780948639,9,6.846224,1.803341,-0.109243,9,6.796978,2.111685,0.126441,9,6.816365,2.980224,0.049594,9,6.798886,3.033304,0.101907,9,6.793886,3.256768,0.113014,9,6.789226,3.345298,0.128163
head,head,5.12493038177,11,4.456814,1.776368,-0.026973,11,4.457553,2.093069,-0.018616,11,4.446242,2.957497,-0.022727,11,4.450772,3.03464,0.001336,11,4.447729,3.269041,0.012273,11,4.447677,3.367322,0.022024
would,would,3.77479076385,11,3.383145,1.788227,0.011859,12,3.380365,2.081549,-0.01152,12,3.391002,2.961276,0.003779,12,3.388064,3.014218,-0.020422,12,3.388443,3.243288,-0.025753,12,3.389828,3.333076,-0.034246
go,go,4.42453956604,12,2.892077,1.981883,0.193656,12,2.884667,2.292422,0.210873,12,2.892157,3.16791,0.206634,12,2.880885,3.229036,0.214818,12,2.878381,3.460908,0.21762,12,2.876113,3.551962,0.218886
through,through,5.06362915039,13,5.224807,2.43141,0.449527,13,5.172228,2.785942,0.49352,13,5.190527,3.622915,0.455005,13,5.164731,3.705039,0.476003,16,5.159462,3.932336,0.471428,16,5.151429,4.029618,0.477656
thought,thought,8.00430202484,14,8.056367,2.215393,-0.216017,14,7.83181,2.841319,0.055377,14,7.865914,3.643587,0.020672,14,7.804283,3.868474,0.163435,14,7.806612,4.112248,0.179912,14,7.77489,4.29027,0.260652
poor,poor,9.51758480072,15,6.739821,2.053257,-0.162136,15,6.947377,2.314844,-0.526475,15,6.898123,3.228103,-0.415484,15,6.922874,3.350638,-0.517836,15,6.913925,3.619711,-0.492537,15,6.919522,3.775216,-0.515054
alice,alice,2.94013094902,9,0.43965,2.015694,-0.037563,9,0.441168,2.305667,-0.009177,9,0.437679,3.225389,-0.002714,11,0.435982,3.34923,-0.001408,11,0.436015,3.619182,-0.000529,12,0.434528,3.776891,0.001675
it,it,6.85414648056,13,3.052649,2.119466,0.103772,13,3.084496,2.413965,0.108298,13,3.063024,3.403672,0.178283,13,3.102371,3.465664,0.116434,13,3.093255,3.762291,0.143109,13,3.074597,3.956503,0.179612
would,would,4.24299383163,13,4.050943,2.010343,-0.109123,13,4.049964,2.337436,-0.076529,13,4.060152,3.25888,-0.144792,12,4.046941,3.370598,-0.095066,12,4.04809,3.661964,-0.100327,12,4.052322,3.856689,-0.099814
be,be,1.48017072678,14,2.493032,1.88752,-0.122823,14,2.489459,2.252015,-0.085421,14,2.487793,3.158141,-0.100739,14,2.489166,3.287503,-0.083095,15,2.489584,3.576112,-0.085852,15,2.490791,3.768979,-0.08771
of,of,4.97043561935,15,4.250133,1.847174,-0.040346,15,4.249476,2.239049,-0.012966,15,4.253773,3.131817,-0.026324,15,4.254372,3.269863,-0.01764,16,4.257323,3.55113,-0.024982,16,4.257043,3.749517,-0.019462
very,very,5.17497158051,13,7.679344,2.421485,0.574311,14,7.493192,2.883114,0.644065,14,7.619968,3.664056,0.532239,14,7.521273,3.856636,0.586773,14,7.522671,4.14758,0.59645,14,7.525695,4.332824,0.583307
little,little,5.49800872803,14,4.138761,2.095536,-0.325949,15,4.186681,2.681156,-0.201958,15,4.14776,3.414043,-0.250013,15,4.177955,3.655932,-0.200704,15,4.170657,3.940488,-0.207092,15,4.170847,4.118355,-0.214469
use,use,4.93670988083,14,7.079769,2.113077,0.017541,15,7.09469,2.643228,-0.037928,15,7.06379,3.441425,0.027382,15,7.068217,3.6785,0.022568,15,7.079862,3.948923,0.008435,15,7.077987,4.13595,0.017595
without,without,8.08568477631,14,8.888898,0.758253,-1.35482,15,8.708251,1.438327,-1.2049,15,8.815991,2.10379,-1.33764,15,8.616188,2.478831,-1.19967,15,8.580035,2.783678,-1.16525,15,8.530854,2.987886,-1.14806
my,my,5.16405773163,15,4.738881,1.020391,0.262138,16,4.713559,1.691087,0.25276,16,4.719584,2.348752,0.244962,16,4.733362,2.701313,0.222482,16,4.734274,3.006222,0.222544,16,4.733974,3.220257,0.232371
shoulders,shoulders,6.4487285614,16,5.962829,0.827898,-0.192493,17,5.963318,1.495606,-0.195481,17,5.954447,2.155973,-0.192779,17,5.954338,2.507932,-0.193381,17,5.956814,2.809551,-0.196671,17,5.957613,3.023186,-0.197071
oh,oh,4.29290008545,9,3.641513,1.655328,0.82743,9,3.60824,1.736848,0.241242,9,3.591969,1.773244,-0.382729,9,3.585538,1.782774,-0.725158,9,3.582814,1.788696,-1.02085,9,3.581256,1.791951,-1.23123
how,how,5.43754768372,11,6.005824,1.449573,-0.205755,11,5.973101,1.692505,-0.044343,11,5.936907,1.978252,0.205008,11,5.91826,2.123406,0.340632,11,5.904333,2.231564,0.442868,11,5.89532,2.282144,0.490193
i,i,2.85929608345,9,2.246264,1.257656,-0.191917,9,2.266656,1.469186,-0.223319,9,2.284146,1.659378,-0.318874,9,2.294594,1.743716,-0.37969,9,2.295615,1.841172,-0.390392,9,2.297165,1.90237,-0.379774
wish,wish,3.58145856857,13,5.547395,1.225689,-0.031967,13,5.505731,1.535496,0.06631,13,5.451579,1.858767,0.199389,13,5.440973,1.975389,0.231673,13,5.433635,2.09145,0.250278,13,5.427625,2.174402,0.272032
i,i,1.61736869812,9,1.694362,1.873484,0.647795,9,1.674388,2.160475,0.624979,9,1.656321,2.468269,0.609502,9,1.651881,2.594919,0.61953,9,1.649126,2.707436,0.615986,9,1.647737,2.781331,0.606929
could,could,3.74684619904,15,3.648721,1.505559,-0.367925,15,3.635726,1.863301,-0.297174,16,3.62251,2.230768,-0.237501,15,3.623954,2.355012,-0.239907,16,3.621279,2.484708,-0.222728,16,3.62043,2.567768,-0.213563
shut,shut,14.5477495193,15,11.525572,0.610459,-0.8951,16,11.177627,1.25209,-0.611211,16,11.139165,1.690567,-0.540201,16,11.058275,1.979049,-0.375963,16,11.017381,2.174771,-0.309937,16,10.989575,2.315918,-0.25185
up,up,5.4204120636,17,5.306508,0.810274,0.199815,18,5.049725,1.37646,0.12437,18,5.06388,1.810345,0.119778,18,5.038663,2.122739,0.14369,18,5.048372,2.315259,0.140488,18,5.056127,2.444269,0.128351
like,like,6.98178863525,17,5.940692,0.685077,-0.125197,17,5.856237,1.230889,-0.145571,19,5.852221,1.722671,-0.087674,19,5.841125,2.063661,-0.059078,19,5.84496,2.247544,-0.067715,19,5.84737,2.368734,-0.075535
a,a,2.09629678726,13,2.86097,1.538344,0.853267,13,2.825547,2.023376,0.792487,13,2.834413,2.49512,0.772449,13,2.830842,2.849212,0.785551,13,2.829763,3.035588,0.788044,13,2.828262,3.155737,0.787003
telescope,UNK,1.68531656265,5,1.624013,1.490638,-0.047706,6,1.585862,2.053162,0.029786,6,1.588683,2.496567,0.001447,6,1.590773,2.841811,-0.007401,5,1.592635,3.026828,-0.00876,6,1.592771,3.157049,0.001312
i,i,2.82695960999,9,2.741468,1.152228,-0.33841,9,2.732975,1.169307,-0.883855,9,2.729633,1.179935,-1.31663,9,2.728525,1.183035,-1.65878,9,2.72794,1.184116,-1.84271,9,2.727662,1.184855,-1.97219
think,think,4.18096637726,10,3.708565,1.082248,-0.06998,10,3.708278,1.139765,-0.029542,10,3.708621,1.162197,-0.017738,11,3.708743,1.171367,-0.011668,11,3.708769,1.176816,-0.0073,11,3.708781,1.179662,-0.005193
i,i,1.5287322998,8,1.639228,1.310703,0.228455,8,1.630088,1.366492,0.226727,9,1.624373,1.392329,0.230132,9,1.622204,1.402015,0.230648,9,1.621006,1.407111,0.230295,9,1.620169,1.410467,0.230805
could,could,4.2249956131,14,3.626861,1.135785,-0.174918,14,3.629002,1.212422,-0.15407,14,3.630057,1.261773,-0.130556,14,3.630614,1.281906,-0.120109,14,3.631007,1.292295,-0.114816,15,3.631253,1.299577,-0.11089
if,if,7.29603528976,14,8.114177,2.491443,1.35566,14,7.955609,2.882112,1.66969,14,7.865249,3.174475,1.9127,14,7.831504,3.317424,2.03552,14,7.809691,3.413854,2.12156,14,7.794584,3.462438,2.16286
i,i,2.32602405548,11,1.52954,1.995928,-0.495515,10,1.508493,2.465143,-0.416969,10,1.474951,2.881963,-0.292512,10,1.465296,3.070568,-0.246856,10,1.464844,3.170627,-0.243227,10,1.462789,3.254295,-0.208143
only,only,5.09490776062,15,5.936376,2.019918,0.02399,15,5.942938,2.511291,0.046148,15,5.948749,2.919,0.037037,15,5.946125,3.112687,0.042119,15,5.942373,3.228042,0.057415,16,5.941745,3.308451,0.054156
knew,knew,7.5671453476,17,5.300949,1.847672,-0.172246,18,5.299186,2.370085,-0.141206,18,5.308738,2.768145,-0.150855,18,5.313744,2.948648,-0.164039,18,5.311991,3.076499,-0.151543,18,5.31396,3.153369,-0.155082
how,how,4.7462477684,17,5.890525,2.488528,0.640856,18,5.824792,3.085662,0.715577,18,5.774503,3.489336,0.721191,18,5.744718,3.666822,0.718174,18,5.734363,3.873644,0.797145,18,5.71906,3.960018,0.806649
to,to,5.03860235214,13,3.30353,2.0308,-0.457728,13,3.385151,2.49292,-0.592742,16,3.377157,3.013024,-0.476312,17,3.385212,3.240553,-0.426269,17,3.381254,3.415157,-0.458487,17,3.382624,3.537056,-0.422962
begin,begin,3.99292039871,19,3.451697,1.832051,-0.198749,21,3.457753,2.275373,-0.217547,21,3.45639,2.808034,-0.20499,21,3.456564,3.046701,-0.193852,21,3.459975,3.202875,-0.212282,21,3.462683,3.316722,-0.220334
for,for,5.5379486084,9,5.762852,1.57418,-0.257871,9,5.729042,1.740567,-0.534806,9,5.709182,1.831913,-0.976121,9,5.703703,1.865592,-1.18111,9,5.700861,1.883331,-1.31954,9,5.699245,1.89981,-1.41691
you,you,2.92762231827,9,3.948441,2.241043,0.666863,10,3.896578,2.428413,0.687846,9,3.84097,2.672118,0.840205,9,3.825373,2.73824,0.872648,9,3.814314,2.800011,0.91668,9,3.809629,2.822611,0.922801
see,see,4.38080739975,11,4.913617,1.31762,-0.923423,11,4.943166,1.556506,-0.871907,12,4.905109,1.985838,-0.68628,12,4.904429,2.094677,-0.643563,12,4.905841,2.172203,-0.627808,12,4.905776,2.213817,-0.608794
so,so,5.03937673569,12,5.919907,2.241421,0.923801,12,5.811893,2.496853,0.940347,14,5.78725,2.904886,0.919048,14,5.737598,3.165147,1.07047,14,5.709114,3.316774,1.14457,14,5.68334,3.446096,1.23228
many,many,7.5728635788,13,8.13931,1.284548,-0.956873,13,8.21206,1.617403,-0.87945,13,8.115373,2.228223,-0.676663,14,8.082798,2.492901,-0.672246,14,8.040172,2.717674,-0.5991,15,7.987391,2.930153,-0.515943
out,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
of,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
the,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
way,UNK,1.76188182831,9,3.875574,2.502113,1.21757,10,3.764159,2.901917,1.28451,10,3.720434,3.457011,1.22879,10,3.476223,3.563325,1.07042,10,3.478717,3.760265,1.04259,10,3.496225,3.92852,0.998367
things,things,6.37810373306,15,6.680734,2.023984,-0.478129,15,6.604272,2.528205,-0.373712,15,6.618119,3.0313,-0.425711,15,6.835966,3.360592,-0.202733,15,6.764386,3.646868,-0.113397,15,6.777504,3.78984,-0.13868
had,had,6.51649284363,16,3.791306,1.359218,-0.664766,16,3.856104,1.906046,-0.622159,16,3.843892,2.486075,-0.545225,16,3.840682,2.777027,-0.583565,16,3.891525,3.038264,-0.608604,16,3.886746,3.183414,-0.606426
happened,happened,5.21202373505,15,5.206998,0.808328,-0.55089,15,5.325348,1.134603,-0.771443,15,5.353064,1.777469,-0.708606,15,5.357713,2.103588,-0.673439,15,5.365997,2.352223,-0.686041,18,5.356292,2.540572,-0.642842
lately,UNK,7.08616733551,9,4.670808,2.710141,1.90181,10,4.61002,3.141762,2.00716,11,4.593954,3.833054,2.05559,11,4.584635,4.14187,2.03828,11,4.582915,4.377794,2.02557,10,4.584084,4.532951,1.99238
that,that,4.34662055969,14,4.732854,3.014895,0.304754,14,4.714246,3.360806,0.219044,14,4.695406,3.997685,0.164631,14,4.702664,4.336632,0.194762,14,4.709926,4.55077,0.172976,14,4.714351,4.718647,0.185696
alice,alice,4.95088815689,13,4.44914,2.387132,-0.627763,14,4.422515,2.863088,-0.497718,13,4.418471,3.484114,-0.513571,14,4.418552,3.823422,-0.51321,14,4.420839,4.022314,-0.528456,14,4.421036,4.17712,-0.541527
had,had,3.04672026634,10,2.507193,1.83653,-0.550602,10,2.505323,2.351884,-0.511204,10,2.46297,3.081067,-0.403047,19,2.468951,3.391829,-0.431593,19,2.45118,3.643359,-0.378955,19,2.436961,3.832468,-0.344652
begun,begun,6.33636379242,19,5.699607,1.31439,-0.52214,21,5.670864,1.962212,-0.389672,21,5.683716,2.636991,-0.444076,21,5.682472,2.946796,-0.445033,21,5.6798,3.224844,-0.418515,21,5.686798,3.407364,-0.425104
to,to,1.94332647324,18,1.548856,1.784897,0.470507,19,1.54929,2.464264,0.502052,19,1.551197,3.139676,0.502685,20,1.544504,3.445165,0.498369,19,1.547511,3.721616,0.496772,19,1.546197,3.904205,0.496841
think,think,6.33316278458,22,4.203611,1.257907,-0.52699,24,4.187218,1.929196,-0.535068,24,4.189437,2.591168,-0.548508,24,4.195586,2.895549,-0.549616,24,4.193421,3.169968,-0.551648,24,4.193513,3.356362,-0.547843
that,that,2.94335412979,16,3.221278,2.182462,0.924555,16,3.222775,2.819948,0.890752,16,3.222527,3.522613,0.931445,17,3.216258,3.836251,0.940702,17,3.218446,4.098848,0.92888,17,3.216537,4.291004,0.934642
very,very,6.85786914825,23,8.135619,2.210652,0.02819,23,8.099851,3.040549,0.220601,23,8.063908,3.638377,0.115764,25,8.018165,3.952104,0.115853,25,8.026642,4.167578,0.06873,25,8.000068,4.382372,0.091368
few,few,8.06748771667,25,6.693595,1.759555,-0.451097,25,6.74909,2.341692,-0.698857,25,6.781515,3.000759,-0.637618,25,6.787886,3.382352,-0.569752,25,6.786705,3.621107,-0.546471,25,6.810194,3.816628,-0.565744
